BookYear,WeathDate,WeathTime,NestArea,CurrentTemp,MinTemp,MaxTemp,MinWind,AvgWind,MaxWind,WindDirection,CloudCover,CloudThickness,Precipitation,BoatCount,Comment,EntryBy,EntryDate,ModBy,ModDate,WeatherSeq,FieldEntry
1983,1983-09-11,,,,,21,12.3,,,,0,,,,General Comments:  NO OTHER INFO,,,CPG ,11/9/2006,1,
1983,1983-09-12,,,,10,22,,,,,0,,,,General Comments:  SOME CLDS IN AFTERNOON,,,,,2,
1983,1983-09-13,,,,2,18,,,2.8,,0,,,,"General Comments:  CLDS IN AFTERNOON,STEADY WIND",,,,,3,
1983,1983-09-14,,,,2,24,,,1.1,,0,,,,General Comments:  STEADY WIND,,,,,4,
1983,1983-09-20,,,,9,28,,,1.1,,4,,,,"General Comments:  STAYED CLR FROM 1100 ON,STDY WIND",,,,,5,
1983,1983-09-21,,,,13,28,1.1,,2.2,,,,,,General Comments:  PARTIAL LIGHT OVERCAST,,,,,6,
1983,1983-09-22,,,,5,23,2.8,,6.1,,,,,,General Comments:  LIGHT OVERCAST ALL DAY,,,,,7,
1983,1983-09-23,,,,8,25,,,,,4,,,,General Comments:  LIGHT OVERCAST MOST OF DAY         ,,,,,8,
1983,1983-09-24,,,,6,22,,,1.4,,,,,,General Comments:  CLEAR W/LIGHT CLDS                 ,,,,,9,
1983,1983-09-25,,,,10,14,1.4,,,,4,,7,,General Comments:  OVERCAST ALL DAY                   ,,,,,10,
1983,1983-09-26,,,,5,24,,,,,,,,,"General Comments:  TRACE OF RAIN, OVERCAST            ",,,,,11,
1983,1983-09-27,,,,1,24,,,2.8,,,,,,General Comments:  OVERCAST                           ,,,,,12,
1983,1983-09-28,,,,2,14,,,,,2,,,,General Comments:  CALM                               ,,,,,13,
1983,1983-09-29,,,,7,19,,,,,0,,,,General Comments:  CLEAR AND CALM                     ,,,,,14,
1983,1983-09-30,,,,7,26,2.8,,6.1,,6,,,,"General Comments:  TRACE OF RAIN,CALM IN AFTERNOON    ",,,,,15,
1983,1983-10-01,,,,11,25,,,,,0,,,,General Comments:  CALM-WINDY                         ,,,,,16,
1983,1983-10-02,,,,3,20,2.8,,5.6,,2,,,,"General Comments:  TRACE OF RAIN, CALM IN AFTERNOON   ",,,,,17,
1983,1983-10-03,,,,4,25,,,,,0,,,,General Comments:  WINDY IN AFTERNOON                 ,,,,,18,
1983,1983-10-04,,,,9,19,,,,,0,,,,"General Comments:  CALM, WINDY IN AFTERNOON           ",,,,,19,
1983,1983-10-05,,,,6,26,,,0.6,,,,,,"General Comments:  LIGHT OVERCAST, CALM               ",,,,,20,
1983,1983-10-06,,,,4,25,,,1.4,,2,,,,,,,,,21,
1983,1983-10-07,,,,10,18,,,,,2,,,,"General Comments:  CALM, OVERCAST                     ",,,,,22,
1983,1983-10-08,,,,6,19,4.2,,6.9,,6,,,,"General Comments:  TRACE OF RAIN,CALM IN AM           ",,,,,23,
1983,1983-10-09,,,,5,26,1.4,,4.2,,4,,,,,,,,,24,
1983,1983-10-10,,,,2,22,1.4,,4.2,,0,,,,,,,,,25,
1983,1983-10-11,,,,9,22,,,,,0,,,,General Comments:  CLEAR AND CALM                     ,,,,,26,
